# Supplementary Table ST12. Abundance data for all histone proteins and non-histone chromatin proteins with abundance values of more than 0.01% of Histone H4.,,,,,,,
SimChrom-SL,Gene,"Abundance relative to histone H4, %",Number of nucleosomes per protein,"Abundance PaxDb_PA, ppm",Entry,Uniquely localized in nucleus,Details (for Figure 4D)
DNA-acting enzymes,TDP1,0.061,818.59,6.67,Q9NUW8,,
DNA-acting enzymes,EXD2,0.061,826.02,6.61,Q9NVH0,,
DNA-acting enzymes,TREX1,0.052,962.96,5.67,Q9NSU2,,
DNA-acting enzymes,ERCC4,0.048,1036.05,5.27,Q92889,,
DNA-acting enzymes,TOP1MT,0.047,1072.69,05.09,Q969P6,,
DNA-acting enzymes,DICER1,0.043,1174.19,4.65,Q9UPY3,,
DNA-acting enzymes,ERCC1,0.042,1176.72,4.64,P07992,,
DNA-acting enzymes,DSCC1,0.039,1266.82,4.31,Q9BVC3,Yes,
DNA-acting enzymes,TOP3B,0.038,1300.0,4.2,O95985,,
DNA-acting enzymes,RECQL5,0.038,1331.71,4.1,O94762,,
DNA-acting enzymes,EXOG,0.037,1341.52,04.07,Q9Y2C4,,
DNA-acting enzymes,ERCC5,0.037,1358.21,04.02,P28715,,
DNA-acting enzymes,SMUG1,0.036,1407.22,3.88,Q53HV7,Yes,
DNA-acting enzymes,MAU2,0.032,1582.61,3.45,Q9Y6X3,,
DNA-acting enzymes,DFFB,0.031,1601.17,3.41,O76075,,
DNA-acting enzymes,LIG4,0.029,1716.98,3.18,P49917,Yes,
DNA-acting enzymes,NEIL2,0.027,1876.29,2.91,Q969S2,,
DNA-acting enzymes,PMS2,0.026,1936.17,2.82,P54278,Yes,
DNA-acting enzymes,POLE,0.024,2044.94,2.67,Q07864,,
DNA-acting enzymes,CHTF8,0.024,2060.38,2.65,P0CG13,,
DNA-acting enzymes,POLG,0.023,2175.3,2.51,P54098,,
DNA-acting enzymes,RAD1,0.023,2184.0,2.5,O60671,Yes,
DNA-acting enzymes,RBBP8,0.023,2219.51,2.46,Q99708,,
DNA-acting enzymes,RAD51C,0.022,2228.57,2.45,O43502,,
DNA-acting enzymes,PGBD5,0.022,2265.56,2.41,Q8N414,Yes,
DNA-acting enzymes,POLG2,0.022,2313.56,2.36,Q9UHN1,,
DNA-acting enzymes,IGHMBP2,0.022,2313.56,2.36,P38935,,
DNA-acting enzymes,TEFM,0.02,2504.59,2.18,Q96QE5,,
DNA-acting enzymes,SETX,0.02,2504.59,2.18,Q7Z333,,
DNA-acting enzymes,POLI,0.019,2612.44,02.09,Q9UNA4,,
DNA-acting enzymes,TEP1,0.017,3016.57,1.81,Q99973,,
DNA-acting enzymes,RAD17,0.017,3016.57,1.81,O75943,Yes,
DNA-acting enzymes,POLE2,0.016,3067.42,1.78,P56282,,
DNA-acting enzymes,TERF1,0.016,3084.75,1.77,P54274,,
DNA-acting enzymes,MBD4,0.016,3120.0,1.75,O95243,,
DNA-acting enzymes,POLD4,0.016,3192.98,1.71,Q9HCU8,,
DNA-acting enzymes,WRN,0.015,3250.0,1.68,Q14191,,
DNA-acting enzymes,BLM,0.015,3289.16,1.66,P54132,Yes,
DNA-acting enzymes,TOP3A,0.015,3309.09,1.65,Q13472,,
DNA-acting enzymes,TDG,0.015,3433.96,1.59,Q13569,Yes,
DNA-acting enzymes,PMS1,0.014,3500.0,1.56,P54277,Yes,
DNA-acting enzymes,PLD4,0.014,3689.19,1.48,Q96BZ4,,
DNA-acting enzymes,DNASE1L2,0.012,4014.71,1.36,Q92874,,
DNA-acting enzymes,RAD51,0.011,4439.02,1.23,Q06609,,
DNA-acting enzymes,MUS81,0.009,5300.97,01.03,Q96NY9,Yes,
DNA-acting enzymes,FBH1,0.009,5687.5,0.96,Q8NFZ0,,
DNA-acting enzymes,RECQL4,0.008,5947.71,0.918,O94761,,
DNA-acting enzymes,N4BP2,0.008,6570.4,0.831,Q86UW6,,
DNA-acting enzymes,EME1,0.007,7017.99,0.778,Q96AY2,,
DNA-acting enzymes,EXO1,0.007,7155.96,0.763,Q9UQ84,Yes,
DNA-acting enzymes,NAV2,0.007,7251.0,0.753,Q8IVL1,Yes,
DNA-acting enzymes,DNASE1L1,0.007,7328.86,0.745,P49184,,
DNA-acting enzymes,TWNK,0.007,7418.48,0.736,Q96RR1,,
DNA-acting enzymes,PRIMPOL,0.006,8285.28,0.659,Q96LW4,,
DNA-acting enzymes,BRIP1,0.006,8285.28,0.659,Q9BX63,,
DNA-acting enzymes,RTEL1,0.006,8666.67,0.63,Q9NZ71,Yes,
DNA-acting enzymes,POLM,0.005,9269.95,0.589,Q9NP87,Yes,
DNA-acting enzymes,HELQ,0.005,9595.78,0.569,Q8TDG4,,
DNA-acting enzymes,XRCC3,0.005,10018.35,0.545,O43542,,
DNA-acting enzymes,MCM9,0.005,10439.77,0.523,Q9NXL9,,
DNA-acting enzymes,CRY1,0.005,10520.23,0.519,Q16526,,
DNA-acting enzymes,HELB,0.005,10726.92,0.509,Q8NG08,,
DNA-acting enzymes,POLL,0.004,12242.15,0.446,Q9UGP5,,
DNA-acting enzymes,ATAD5,0.004,13718.59,0.398,Q96QE3,,
DNA-acting enzymes,DNA2,0.004,14218.75,0.384,P51530,,
DNA-acting enzymes,MCM8,0.003,16106.19,0.339,Q9UJA3,,
DNA-acting enzymes,POLK,0.003,19927.01,0.274,Q9UBT6,Yes,
DNA-acting enzymes,GEN1,0.002,20147.6,0.271,Q17RS7,Yes,
DNA-acting enzymes,APEX2,0.002,21411.76,0.255,Q9UBZ4,,
DNA-acting enzymes,NEIL1,0.002,22845.19,0.239,Q96FI4,,
DNA-acting enzymes,RAD51D,0.002,28144.33,0.194,O75771,,
DNA-acting enzymes,XRCC2,0.002,28290.16,0.193,O43543,,
DNA-acting enzymes,APLF,0.002,28437.5,0.192,Q8IW19,,
DNA-acting enzymes,CRY2,0.002,29042.55,0.188,Q49AN0,,
DNA-acting enzymes,MUTYH,0.001,41679.39,0.131,Q9UIF7,,
DNA-acting enzymes,DCLRE1C,0.001,45500.0,0.12,Q96SD1,,
DNA-acting enzymes,RAD51B,0.001,49636.36,0.11,O15315,Yes,
DNA-acting enzymes,DCLRE1A,0.001,53009.71,0.103,Q6PJP8,Yes,
DNA-acting enzymes,OGG1,0.001,65000.0,0.084,O15527,Yes,
DNA-acting enzymes,PIF1,0.001,67407.41,0.081,Q9H611,,
DNA-acting enzymes,ENDOV,0.001,68250.0,0.08,Q8N8Q3,,
DNA-acting enzymes,DMC1,0.001,80294.12,0.068,Q14565,,
DNA-acting enzymes,REV1,0.001,81492.54,0.067,Q9UBZ9,Yes,
DNA-acting enzymes,DCLRE1B,0.001,94137.93,0.058,Q9H816,,
DNA-acting enzymes,DNTT,0.0,103018.87,0.053,P04053,,
DNA-acting enzymes,POLH,0.0,126976.74,0.043,Q9Y253,Yes,
DNA-acting enzymes,FANCM,0.0,133170.73,0.041,Q8IYD8,Yes,
DNA-acting enzymes,MEIOB,0.0,147567.57,0.037,Q8N635,,
DNA-acting enzymes,NEIL3,0.0,160588.24,0.034,Q8TAT5,,
DNA-acting enzymes,ZGRF1,0.0,176129.03,0.031,Q86YA3,,
DNA-acting enzymes,FAN1,0.0,195000.0,0.028,Q9Y2M0,Yes,
DNA-acting enzymes,REV3L,0.0,210000.0,0.026,O60673,Yes,
DNA-acting enzymes,"SLX1A,SLX1B",0.0,210000.0,0.026,Q9BQ83,,
DNA-acting enzymes,MLH3,0.0,273000.0,0.02,Q9UHC1,Yes,
DNA-acting enzymes,THAP9,0.0,364000.0,0.015,Q9H5L6,,
DNA-acting enzymes,TREX2,0.0,390000.0,0.014,Q9BQ50,,
Other families with HMG-box domain,HMG20A,0.185,270.3,20.2,Q9NP66,Yes,
Other families with HMG-box domain,HMGXB4,0.066,762.57,7.16,Q9UGU5,Yes,
Other families with HMG-box domain,HMG20B,0.055,914.57,5.97,Q9P0W2,,
Other families with HMG-box domain,SOX9,0.028,1796.05,03.04,P48436,Yes,
Other families with HMG-box domain,SOX10,0.027,1826.09,2.99,P56693,,
Other families with HMG-box domain,SOX13,0.027,1850.85,2.95,Q9UN79,,
Other families with HMG-box domain,TCF7L2,0.025,2025.97,2.6950000000000003,Q9NQB0,Yes,
Other families with HMG-box domain,HBP1,0.016,3084.75,1.77,O60381,Yes,
Other families with HMG-box domain,TCF7,0.013,3739.73,1.46,P36402,,
Other families with HMG-box domain,SOX4,0.013,3739.73,1.46,Q06945,Yes,
Other families with HMG-box domain,LEF1,0.012,4074.63,1.34,Q9UJU2,Yes,
Other families with HMG-box domain,SOX3,0.01,5200.0,01.05,P41225,,
Other families with HMG-box domain,TAF1,0.009,5617.28,0.972,P21675,Yes,
Other families with HMG-box domain,SOX15,0.009,5759.49,0.948,O60248,,
Other families with HMG-box domain,SOX11,0.008,6000.0,0.91,P35716,Yes,
Other families with HMG-box domain,SOX17,0.007,7510.32,0.727,Q9H6I2,Yes,
Other families with HMG-box domain,SOX5,0.007,7657.78,0.713,P35711,Yes,
Other families with HMG-box domain,SOX18,0.004,11446.54,0.477,P35713,Yes,
Other families with HMG-box domain,SOX8,0.004,12214.77,0.447,P57073,Yes,
Other families with HMG-box domain,TCF7L1,0.003,14406.33,0.379,Q9HCS4,,
Other families with HMG-box domain,HMGXB3,0.002,24484.3,0.223,Q12766,Yes,
Other families with HMG-box domain,SOX21,0.0,156000.0,0.035,Q9Y651,Yes,
Other families with HMG-box domain,SOX7,0.0,237391.3,0.023,Q9BT81,,
Pioneer TFs,FOXA1,0.216,231.36,23.6,P55317,Yes,
Pioneer TFs,TP53,0.152,328.92,16.6,P04637,,
Pioneer TFs,NRF1,0.115,433.33,12.6,Q16656,,
Pioneer TFs,GATA3,0.088,568.16,9.61,P23771,,
Pioneer TFs,SOX2,0.044,1128.1,4.84,P48431,,
Pioneer TFs,POU5F1,0.034,1479.67,3.69,Q01860,,
Pioneer TFs,GATA1,0.022,2294.12,2.38,P15976,,
Pioneer TFs,FOXA3,0.012,4105.26,1.33,P55318,Yes,
Pioneer TFs,GATA2,0.011,4666.67,1.17,P23769,,
Pioneer TFs,SPI1,0.009,5300.97,01.03,P17947,Yes,
Pioneer TFs,GATA4,0.008,6385.96,0.855,P43694,Yes,
Pioneer TFs,KLF4,0.006,7947.6,0.687,O43474,,
Pioneer TFs,GATA6,0.004,13156.63,0.415,Q92908,Yes,
Pioneer TFs,CEBPA,0.004,13382.35,0.408,P49715,,
Pioneer TFs,EBF1,0.003,19711.19,0.277,Q9UH73,,
Pioneer TFs,GATA5,0.002,21162.79,0.258,Q9BWX5,,
Pioneer TFs,FOXA2,0.002,22016.13,0.248,Q9Y261,,
Pioneer TFs,PAX7,0.001,37916.67,0.144,P23759,,
Pioneer TFs,ESRRB,0.0,188275.86,0.029,O95718,,
Pioneer TFs,NEUROD1,0.0,364000.0,0.015,Q13562,,
Nuclear hormone receptors,PGRMC2,2.106,23.74,230.0,O15173,,
Nuclear hormone receptors,STAT3,0.759,65.86,82.9,P40763,,
Nuclear hormone receptors,PDE3A,0.062,801.76,6.81,Q14432,,
Nuclear hormone receptors,RXRB,0.057,875.0,6.24,P28702,,
Nuclear hormone receptors,NR3C1,0.053,936.54,5.83,P04150,,
Nuclear hormone receptors,PGR,0.05,1005.52,5.43,P06401,,
Nuclear hormone receptors,RXRA,0.049,1014.87,5.38,P19793,,
Nuclear hormone receptors,NR2C2,0.048,1047.98,5.21,P49116,Yes,
Nuclear hormone receptors,NR2F6,0.043,1169.16,4.67,P10588,Yes,
Nuclear hormone receptors,ESR1,0.035,1448.28,3.77,P03372,,
Nuclear hormone receptors,ARNT,0.033,1504.13,3.63,P27540,Yes,
Nuclear hormone receptors,NR2F2,0.031,1610.62,3.39,P24468,,
Nuclear hormone receptors,NR2F1,0.028,1778.5,03.07,P10589,,
Nuclear hormone receptors,AHR,0.023,2175.3,2.51,P35869,,
Nuclear hormone receptors,AR,0.023,2184.0,2.5,P10275,,
Nuclear hormone receptors,RARA,0.016,3120.0,1.75,P10276,,
Nuclear hormone receptors,ESRRA,0.013,3739.73,1.46,P11474,,
Nuclear hormone receptors,RXRG,0.011,4588.24,1.19,P48443,,
Nuclear hormone receptors,HNF4A,0.01,5200.0,01.05,P41235,,
Nuclear hormone receptors,NR2C1,0.007,7615.06,0.717,P13056,,
Nuclear hormone receptors,NR1H2,0.006,8323.17,0.656,P55055,,
Nuclear hormone receptors,SREBF1,0.004,12000.0,0.455,P36956,,
Nuclear hormone receptors,NR6A1,0.004,12551.72,0.435,Q15406,Yes,
Nuclear hormone receptors,PAQR7,0.003,15734.87,0.347,Q86WK9,,
Nuclear hormone receptors,RARG,0.003,15872.09,0.344,P13631,,
Nuclear hormone receptors,VDR,0.003,16153.85,0.338,P11473,,
Nuclear hormone receptors,RARB,0.003,18508.47,0.295,P10826,,
Nuclear hormone receptors,NR3C2,0.002,24705.88,0.221,P08235,,
Nuclear hormone receptors,HNF4G,0.002,24931.51,0.219,Q14541,,
Nuclear hormone receptors,NR1H3,0.002,28586.39,0.191,Q13133,,
Nuclear hormone receptors,PPARG,0.002,30502.79,0.179,P37231,,
Nuclear hormone receptors,ABHD2,0.001,42992.13,0.127,P08910,,
Nuclear hormone receptors,THRA,0.001,48750.0,0.112,P10827,,
Nuclear hormone receptors,NR4A3,0.001,50091.74,0.109,Q92570,,
Nuclear hormone receptors,NR2E3,0.001,54600.0,0.1,Q9Y5X4,,
Nuclear hormone receptors,NR4A1,0.001,56875.0,0.096,P22736,,
Nuclear hormone receptors,THRB,0.001,66585.37,0.082,P10828,,
Nuclear hormone receptors,PPARD,0.001,74794.52,0.073,Q03181,,
Nuclear hormone receptors,ESRRG,0.001,86666.67,0.063,P62508,Yes,
Nuclear hormone receptors,RORB,0.001,91000.0,0.06,Q92753,Yes,
Nuclear hormone receptors,NR4A2,0.001,97500.0,0.056,P43354,,
Nuclear hormone receptors,NR1D2,0.0,126976.74,0.043,Q14995,,
Nuclear hormone receptors,NR1D1,0.0,151666.67,0.036,P20393,,
Nuclear hormone receptors,NR5A1,0.0,227500.0,0.024,Q13285,Yes,
Nuclear hormone receptors,NKX3-1,0.0,237391.3,0.023,Q99801,,
Nuclear hormone receptors,RORC,0.0,420000.0,0.013,P51449,Yes,
Nuclear hormone receptors,PAQR8,0.0,496363.64,0.011,Q8TEZ7,,
Housekeeping DNA-binding TFs,ENO1,33.581,1.49,3667.0,P06733,,
Housekeeping DNA-binding TFs,PCBP1,5.467,9.15,597.0,Q15365,,
Housekeeping DNA-binding TFs,HDGF,4.24,11.79,463.0,P51858,,
Housekeeping DNA-binding TFs,PURA,1.328,37.66,145.0,Q00577,,
Housekeeping DNA-binding TFs,STAT1,1.209,41.36,132.0,P42224,,
Housekeeping DNA-binding TFs,GTF2I,1.117,44.75,122.0,P78347,,
Housekeeping DNA-binding TFs,LRRFIP1,0.853,58.65,93.1,Q32MZ4,,
Housekeeping DNA-binding TFs,PURB,0.841,59.48,91.8,Q96QR8,Yes,
Housekeeping DNA-binding TFs,TSTD1,0.829,60.33,90.5,Q8NFU3,,
Housekeeping DNA-binding TFs,CDC5L,0.749,66.75,81.8,Q99459,,
Housekeeping DNA-binding TFs,NFYA,0.552,90.55,60.3,P23511,,
Housekeeping DNA-binding TFs,FOXK1,0.449,111.43,49.0,P85037,,
Housekeeping DNA-binding TFs,CREB1,0.412,121.33,45.0,P16220,Yes,
Housekeeping DNA-binding TFs,RELA,0.391,127.87,42.7,Q04206,,
Housekeeping DNA-binding TFs,ATF1,0.383,130.62,41.8,P18846,Yes,
Housekeeping DNA-binding TFs,HSF1,0.311,160.59,34.0,Q00613,,
Housekeeping DNA-binding TFs,SP3,0.306,163.47,33.4,Q02447,,
Housekeeping DNA-binding TFs,AEBP1,0.288,173.33,31.5,Q8IUX7,,
Housekeeping DNA-binding TFs,SP100,0.278,179.61,30.4,P23497,Yes,
Housekeeping DNA-binding TFs,NFKB1,0.277,180.79,30.2,P19838,,
Housekeeping DNA-binding TFs,SP1,0.265,188.93,28.9,P08047,,
Housekeeping DNA-binding TFs,NFIC,0.254,197.11,27.7,P08651,,
Housekeeping DNA-binding TFs,ADNP,0.234,213.28,25.6,Q9H2P0,,
Housekeeping DNA-binding TFs,ETV6,0.228,219.28,24.9,P41212,,
Housekeeping DNA-binding TFs,CTCF,0.225,221.95,24.6,P49711,,
Housekeeping DNA-binding TFs,NFIA,0.223,223.77,24.4,Q12857,,
Housekeeping DNA-binding TFs,STAT6,0.218,229.41,23.8,P42226,,
Housekeeping DNA-binding TFs,STAT5B,0.212,236.36,23.1,P51692,,
Housekeeping DNA-binding TFs,CC2D1A,0.212,236.36,23.1,Q6P1N0,,
Housekeeping DNA-binding TFs,NFYC,0.192,260.0,21.0,Q13952,,
Housekeeping DNA-binding TFs,STAT5A,0.186,268.97,20.3,P42229,,
Housekeeping DNA-binding TFs,TFCP2,0.181,275.76,19.8,Q12800,Yes,
Housekeeping DNA-binding TFs,NFIX,0.18,277.16,19.7,Q14938,,
Housekeeping DNA-binding TFs,POU2F1,0.167,300.0,18.2,P14859,,
Housekeeping DNA-binding TFs,TRPS1,0.164,305.03,17.9,Q9UHF7,Yes,
Housekeeping DNA-binding TFs,MAZ,0.163,306.74,17.8,P56270,Yes,
Housekeeping DNA-binding TFs,SMAD4,0.162,308.47,17.7,Q13485,,
Housekeeping DNA-binding TFs,FOSL2,0.156,321.18,17.0,P15408,Yes,
Housekeeping DNA-binding TFs,NFYB,0.155,323.08,16.9,P25208,,
Housekeeping DNA-binding TFs,GABPA,0.149,334.97,16.3,Q06546,,
Housekeeping DNA-binding TFs,ZBTB7B,0.146,343.4,15.9,O15156,Yes,
Housekeeping DNA-binding TFs,NKRF,0.145,345.57,15.8,O15226,Yes,
Housekeeping DNA-binding TFs,STAT2,0.144,347.77,15.7,P52630,,
Housekeeping DNA-binding TFs,SMAD2,0.143,350.0,15.6,Q15796,,
Housekeeping DNA-binding TFs,MAX,0.139,359.21,15.2,P61244,,
Housekeeping DNA-binding TFs,NACC1,0.138,361.59,15.1,Q96RE7,,
Housekeeping DNA-binding TFs,ELF1,0.136,368.92,14.8,P32519,,
Housekeeping DNA-binding TFs,MEF2D,0.132,379.17,14.4,Q14814,,
Housekeeping DNA-binding TFs,REL,0.124,404.44,13.5,Q04864,,
Housekeeping DNA-binding TFs,USF1,0.123,407.46,13.4,P22415,,
Housekeeping DNA-binding TFs,CIC,0.12,416.79,13.1,Q96RK0,,
Housekeeping DNA-binding TFs,ZNF787,0.119,420.0,13.0,Q6DD87,,
Housekeeping DNA-binding TFs,ZBTB7A,0.119,420.0,13.0,O95365,Yes,
Housekeeping DNA-binding TFs,ZNF768,0.118,423.26,12.9,Q9H5H4,,
Housekeeping DNA-binding TFs,CC2D1B,0.117,426.56,12.8,Q5T0F9,,
Housekeeping DNA-binding TFs,RBPJ,0.11,455.0,12.0,Q06330,,
Housekeeping DNA-binding TFs,IRF9,0.108,462.71,11.8,Q00978,,
Housekeeping DNA-binding TFs,FOXK2,0.107,466.67,11.7,Q01167,,
Housekeeping DNA-binding TFs,KLF3,0.106,470.69,11.6,P57682,Yes,
Housekeeping DNA-binding TFs,ERF,0.103,487.5,11.2,P50548,,
Housekeeping DNA-binding TFs,JUND,0.102,491.89,11.1,P17535,,
Housekeeping DNA-binding TFs,PBX1,0.099,505.56,10.8,P40424,,
Housekeeping DNA-binding TFs,SRF,0.099,505.56,10.8,P11831,Yes,
Housekeeping DNA-binding TFs,CEBPB,0.098,510.28,10.7,P17676,,
Housekeeping DNA-binding TFs,ZNF148,0.098,510.28,10.7,Q9UQR1,,
Housekeeping DNA-binding TFs,CEBPG,0.096,520.0,10.5,P53567,Yes,
Housekeeping DNA-binding TFs,JUNB,0.094,530.1,10.3,P17275,,
Housekeeping DNA-binding TFs,WIZ,0.094,530.1,10.3,O95785,Yes,
Housekeeping DNA-binding TFs,UBP1,0.094,530.1,10.3,Q9NZI7,Yes,
Housekeeping DNA-binding TFs,JUN,0.093,535.29,10.2,P05412,,
Housekeeping DNA-binding TFs,SMAD3,0.091,546.55,9.99,P84022,,
Housekeeping DNA-binding TFs,IRF3,0.088,567.57,9.62,Q14653,,
Housekeeping DNA-binding TFs,PLSCR1,0.087,574.74,9.5,O15162,,
Housekeeping DNA-binding TFs,ZKSCAN1,0.086,578.39,9.44,P17029,,
Housekeeping DNA-binding TFs,TFEB,0.086,583.96,9.35,P19484,,
Housekeeping DNA-binding TFs,USF2,0.084,598.03,9.13,Q15853,,
Housekeeping DNA-binding TFs,CUX1,0.083,599.34,9.11,P39880,,
Housekeeping DNA-binding TFs,ZNF574,0.083,604.65,09.03,Q6ZN55,,
Housekeeping DNA-binding TFs,VEZF1,0.083,604.65,09.03,Q14119,Yes,
Housekeeping DNA-binding TFs,ZNF579,0.082,606.67,9.0,Q8NAF0,Yes,
Housekeeping DNA-binding TFs,SP110,0.082,611.42,8.93,Q9HB58,Yes,
Housekeeping DNA-binding TFs,ZGPAT,0.081,616.95,8.85,Q8N5A5,,
Housekeeping DNA-binding TFs,ZNF24,0.079,633.41,8.62,P17028,Yes,
Housekeeping DNA-binding TFs,ZNF384,0.071,702.7,7.77,Q8TF68,Yes,
Housekeeping DNA-binding TFs,FOXO3,0.071,702.7,7.77,O43524,,
Housekeeping DNA-binding TFs,MEF2C,0.071,704.52,7.75,Q06413,,
Housekeeping DNA-binding TFs,ATF6,0.07,718.42,7.6,P18850,,
Housekeeping DNA-binding TFs,GMEB2,0.068,739.84,7.38,Q9UKD1,,
Housekeeping DNA-binding TFs,RFX5,0.065,769.01,7.1,P48382,,
Housekeeping DNA-binding TFs,ATF7,0.065,770.1,07.09,P17544,,
Housekeeping DNA-binding TFs,ZNF143,0.065,774.47,07.05,P52747,Yes,
Housekeeping DNA-binding TFs,SMAD5,0.064,781.12,6.99,Q99717,,
Housekeeping DNA-binding TFs,RREB1,0.061,826.02,6.61,Q92766,Yes,
Housekeeping DNA-binding TFs,NOTCH2,0.06,832.32,6.56,Q04721,,
Housekeeping DNA-binding TFs,TFE3,0.057,879.23,6.21,P19532,,
Housekeeping DNA-binding TFs,ZHX2,0.057,884.93,6.17,Q9Y6X8,Yes,
Housekeeping DNA-binding TFs,THAP11,0.054,933.33,5.85,Q96EK4,,
Housekeeping DNA-binding TFs,IRF2,0.053,934.93,5.84,P14316,,
Housekeeping DNA-binding TFs,MEF2A,0.053,938.14,5.82,Q02078,Yes,
Housekeeping DNA-binding TFs,BBX,0.053,943.01,5.79,Q8WY36,,
Housekeeping DNA-binding TFs,PBX2,0.051,975.0,5.6,P40425,Yes,
Housekeeping DNA-binding TFs,SMAD1,0.051,989.13,5.52,Q15797,,
Housekeeping DNA-binding TFs,SP2,0.046,1087.65,05.02,Q02086,,
Housekeeping DNA-binding TFs,HOMEZ,0.045,1107.51,4.93,Q8IX15,Yes,
Housekeeping DNA-binding TFs,ZSCAN18,0.044,1142.26,4.78,Q8TBC5,Yes,
Housekeeping DNA-binding TFs,ETV3,0.043,1161.7,4.7,P41162,,
Housekeeping DNA-binding TFs,GMEB1,0.042,1179.27,4.63,Q9Y692,,
Housekeeping DNA-binding TFs,MAFK,0.042,1184.38,4.61,O60675,,
Housekeeping DNA-binding TFs,ZNF281,0.042,1200.0,4.55,Q9Y2X9,Yes,
Housekeeping DNA-binding TFs,FOXO1,0.041,1226.97,4.45,Q12778,,
Housekeeping DNA-binding TFs,TCF12,0.041,1229.73,4.44,Q99081,,
Housekeeping DNA-binding TFs,ZNF446,0.041,1232.51,4.43,Q9NWS9,Yes,
Housekeeping DNA-binding TFs,NFX1,0.04,1246.58,4.38,Q12986,,
Housekeeping DNA-binding TFs,TFDP1,0.04,1258.06,4.34,Q14186,,
Housekeeping DNA-binding TFs,ATF6B,0.038,1318.84,4.14,Q99941,,
Housekeeping DNA-binding TFs,FOXP1,0.037,1344.83,04.06,Q9H334,Yes,
Housekeeping DNA-binding TFs,MAFG,0.037,1348.15,04.05,O15525,,
Housekeeping DNA-binding TFs,ZNF740,0.036,1371.86,3.98,Q8NDX6,Yes,
Housekeeping DNA-binding TFs,ELF2,0.036,1385.79,3.94,Q15723,,
Housekeeping DNA-binding TFs,FOXP4,0.035,1440.63,3.79,Q8IVH2,Yes,
Housekeeping DNA-binding TFs,RFXANK,0.034,1456.0,3.75,O14593,,
Housekeeping DNA-binding TFs,TCF3,0.034,1459.89,3.74,P15923,Yes,
Housekeeping DNA-binding TFs,RFXAP,0.033,1495.89,3.65,O00287,,
Housekeeping DNA-binding TFs,PKNOX1,0.033,1525.14,3.58,P55347,Yes,
Housekeeping DNA-binding TFs,BACH1,0.031,1601.17,3.41,O14867,,
Housekeeping DNA-binding TFs,ZHX1,0.028,1801.98,03.03,Q9UKY1,Yes,
Housekeeping DNA-binding TFs,ZNF552,0.027,1820.0,3.0,Q9H707,,
Housekeeping DNA-binding TFs,SP140L,0.027,1863.48,2.93,Q9H930,,
Housekeeping DNA-binding TFs,ZNF451,0.027,1876.29,2.91,Q9Y4E5,Yes,
Housekeeping DNA-binding TFs,MAFF,0.026,1922.54,2.84,Q9ULX9,,
Housekeeping DNA-binding TFs,FOXJ3,0.025,1992.7,2.74,Q9UPW0,,
Housekeeping DNA-binding TFs,SATB1,0.025,2037.31,2.68,Q01826,Yes,
Housekeeping DNA-binding TFs,CEBPD,0.024,2052.63,2.66,P49716,Yes,
Housekeeping DNA-binding TFs,MEIS1,0.023,2166.67,2.52,O00470,Yes,
Housekeeping DNA-binding TFs,ZBTB2,0.023,2184.0,2.5,Q8N680,,
Housekeeping DNA-binding TFs,ZNF512B,0.023,2192.77,2.49,Q96KM6,Yes,
Housekeeping DNA-binding TFs,ZNF219,0.023,2219.51,2.46,Q9P2Y4,Yes,
Housekeeping DNA-binding TFs,ZBTB10,0.022,2256.2,2.42,Q96DT7,Yes,
Housekeeping DNA-binding TFs,ZNF316,0.022,2284.52,2.39,A6NFI3,,
Housekeeping DNA-binding TFs,CREM,0.022,2284.52,2.39,Q03060,,
Housekeeping DNA-binding TFs,ZNF639,0.021,2343.35,2.33,Q9UID6,Yes,
Housekeeping DNA-binding TFs,E2F4,0.02,2470.59,2.21,Q16254,,
Housekeeping DNA-binding TFs,PBX3,0.02,2493.15,2.19,P40426,,
Housekeeping DNA-binding TFs,PATZ1,0.02,2527.78,2.16,Q9HBE1,Yes,
Housekeeping DNA-binding TFs,DBP,0.02,2551.4,2.14,Q10586,,
Housekeeping DNA-binding TFs,NFATC3,0.019,2575.47,2.12,Q12968,,
Housekeeping DNA-binding TFs,FOS,0.019,2650.49,02.06,P01100,,
Housekeeping DNA-binding TFs,ZNF629,0.018,2730.0,2.0,Q9UEG4,,
Housekeeping DNA-binding TFs,ETS1,0.018,2829.02,1.93,P14921,,
Housekeeping DNA-binding TFs,MLX,0.018,2843.75,1.92,Q9UH92,,
Housekeeping DNA-binding TFs,LITAF,0.018,2843.75,1.92,Q99732,,
Housekeeping DNA-binding TFs,MITF,0.017,2873.68,1.9,O75030,,
Housekeeping DNA-binding TFs,ZBTB14,0.017,2904.26,1.88,O43829,,
Housekeeping DNA-binding TFs,ZNF131,0.017,2935.48,1.86,P52739,,
Housekeeping DNA-binding TFs,BCL6,0.017,2983.61,1.83,P41182,Yes,
Housekeeping DNA-binding TFs,ZHX3,0.017,3016.57,1.81,Q9H4I2,Yes,
Housekeeping DNA-binding TFs,REST,0.016,3033.33,1.8,Q13127,,
Housekeeping DNA-binding TFs,ZFX,0.016,3084.75,1.77,P17010,,
Housekeeping DNA-binding TFs,BHLHE40,0.016,3102.27,1.76,O14503,,
Housekeeping DNA-binding TFs,ZBED1,0.015,3269.46,1.67,O96006,Yes,
Housekeeping DNA-binding TFs,FOXJ2,0.015,3349.69,1.63,Q9P0K8,,
