# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
Q6ECI4,Non-Housekeeping DNA-binding TFs,17,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6DJT9,Non-Housekeeping DNA-binding TFs,6,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q68G74,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q8N7G0,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
Q9Y2W7,Non-Housekeeping DNA-binding TFs,2,2,"EF-hand_7,EF-hand_8",,
Q7RTV3,Non-Housekeeping DNA-binding TFs,2,2,"zf-C2H2_6,zf-C2H2",DNA binding,DNA binding
Q7Z340,Non-Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N141,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N143,Non-Housekeeping DNA-binding TFs,4,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9UKI9,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
Q9UK13,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8IXT2,Non-Housekeeping DNA-binding TFs,2,2,"DM,DMRT-like",,
Q8IXF0,Non-Housekeeping DNA-binding TFs,2,2,"PAS,PAS_3",,
Q9UJW8,Non-Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8IW36,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UNY5,Non-Housekeeping DNA-binding TFs,6,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N196,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,SIX1_SD",DNA binding,DNA binding
Q9UPM6,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q8N4W9,Non-Housekeeping DNA-binding TFs,19,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UJW7,Non-Housekeeping DNA-binding TFs,17,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UJU3,Non-Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86UE3,Non-Housekeeping DNA-binding TFs,22,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UIU6,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,SIX1_SD",DNA binding,DNA binding
Q7Z398,Non-Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y5R6,Non-Housekeeping DNA-binding TFs,2,2,"DM,Dmrt1",,
Q06413,Housekeeping DNA-binding TFs,2,2,"SRF-TF,HJURP_C",,
P10588,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
P10276,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
Q15915,Non-Housekeeping DNA-binding TFs,4,2,"zf_ZIC,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q15911,Non-Housekeeping DNA-binding TFs,6,2,"Homeodomain,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q15784,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Neuro_bHLH",,
Q15562,Non-Housekeeping DNA-binding TFs,2,2,"TEA,YBD",,
Q15561,Non-Housekeeping DNA-binding TFs,2,2,"TEA,YBD",,
Q15475,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,SIX1_SD",,
Q9UBP5,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
Q15329,Non-Housekeeping DNA-binding TFs,2,2,"E2F_TDP,E2F_CC-MB",,
Q15319,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
Q5TA89,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
Q15306,Non-Housekeeping DNA-binding TFs,2,2,"IRF,IRF-3",,
Q14934,Non-Housekeeping DNA-binding TFs,2,2,"RHD_DNA_bind,RHD_dimer",,
Q14863,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
Q14593,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q14592,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q14526,Non-Housekeeping DNA-binding TFs,5,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q14469,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
Q14209,Non-Housekeeping DNA-binding TFs,2,2,"E2F_TDP,E2F_CC-MB",,
P08235,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
Q15916,Non-Housekeeping DNA-binding TFs,3,2,"BTB,zf-C2H2",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q16587,Non-Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N7Q3,Non-Housekeeping DNA-binding TFs,12,2,"zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y6Q3,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UBR4,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q5H9I0,Non-Housekeeping DNA-binding TFs,2,2,"E2F_TDP,DP",,
Q49AA0,Non-Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A9YTQ3,Nuclear hormone receptors,2,2,"HLH,PAS",,
Q3SY52,Non-Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q3SXZ3,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q3MJ62,Non-Housekeeping DNA-binding TFs,6,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q3KQV3,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q3KNS6,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O00482,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
O75469,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
Q2VWA4,Non-Housekeeping DNA-binding TFs,2,2,"Ski_Sno,c-SKI_SMAD_bind",,
Q2M3X9,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q2M218,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q2M1K9,Non-Housekeeping DNA-binding TFs,9,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q16650,Non-Housekeeping DNA-binding TFs,2,2,"T-box,T-box_assoc",,
Q92570,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
P31274,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Hox9_act",DNA binding,DNA binding
A8MUZ8,Non-Housekeeping DNA-binding TFs,3,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q9Y221,Preribosome-associated,2,2,"UPF0113,UPF0113_N",,
Q9NQZ2,Preribosome-associated,2,2,"Sas10_Utp3,Sas10",,
Q9NV06,Preribosome-associated,6,2,"Sof1,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9NY61,Preribosome-associated,2,2,"TRAUB,AATF-Che1",,
Q9UKD2,Preribosome-associated,2,2,"Ribosomal_L10,RL10P_insert",,
O43316,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,PAX",DNA binding,DNA binding
Q8TB69,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O43309,Non-Housekeeping DNA-binding TFs,13,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O43248,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DUF3528",DNA binding,DNA binding
Q9Y2P8,Preribosome-associated,2,2,"RTC,RTC_insert",,
O15350,Non-Housekeeping DNA-binding TFs,2,2,"P53,SAM_2",,
Q9Y2X3,Preribosome-associated,2,2,"Nop,NOP5NT",,
O43186,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,TF_Otx",DNA binding,DNA binding
O15409,Non-Housekeeping DNA-binding TFs,2,2,"Forkhead,FOXP-CC",,
O43709,RNA modification,2,2,"Methyltransf_11,WBS_methylT",,
Q8TBJ5,Non-Housekeeping DNA-binding TFs,6,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8TBZ5,Non-Housekeeping DNA-binding TFs,12,2,"zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8TE12,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q9NQ87,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
Q9H583,Preribosome-associated,2,2,"BP28CT,U3snoRNP10",,
Q9GZL7,Preribosome-associated,8,2,"NLE,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9BXY0,Preribosome-associated,2,2,"Ribosomal_L28e,Mak16",,
Q8TED0,Preribosome-associated,6,2,"UTP15_C,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
O94916,Non-Housekeeping DNA-binding TFs,2,2,"RHD_DNA_bind,RHD_dimer",,
Q14137,Preribosome-associated,5,2,"BOP1NT,WD40",Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q14690,Preribosome-associated,5,2,"S1,Suf",,
O75398,Non-Housekeeping DNA-binding TFs,2,2,"SAND,zf-MYND",,
Q15061,Preribosome-associated,3,2,"Utp12,WD40",Histone binding;Histone binding,Histone binding
O60663,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
O60481,Non-Housekeeping DNA-binding TFs,4,2,"zf_ZIC,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
O60479,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DLL_N",DNA binding,DNA binding
Q9NSC2,Non-Housekeeping DNA-binding TFs,7,2,"zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q15269,Preribosome-associated,4,2,"Utp12,WD40",Histone binding;Histone binding;Histone binding,Histone binding
O60422,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,CUT",DNA binding,DNA binding
Q8NDW4,Non-Housekeeping DNA-binding TFs,8,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O60284,Non-Housekeeping DNA-binding TFs,7,2,"zf-C2HC,MYT1",,
O43365,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DUF4074",DNA binding,DNA binding
Q8NHW3,Non-Housekeeping DNA-binding TFs,2,2,"bZIP_Maf,Maf_N",,
Q68CQ4,Preribosome-associated,2,2,"Utp25_C,UTP25_NTPase-like",,
Q9NQL9,Non-Housekeeping DNA-binding TFs,2,2,"DM,DMA",,
O15160,RNA polymerases,2,2,"RNA_pol_A_bac,RNA_pol_L",,
O15198,Non-Housekeeping DNA-binding TFs,2,2,"MH1,MH2",,
O95343,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,SIX1_SD",DNA binding,DNA binding
O75400,RNA processing,6,2,"WW,FF",,
O43251,RNA processing,2,2,"RRM_1,Fox-1_C",RNA binding,RNA binding
Q92985,Non-Housekeeping DNA-binding TFs,2,2,"IRF,IRF-3",,
O43390,RNA processing,4,2,"RRM_1,hnRNP_Q_AcD",RNA binding;RNA binding;RNA binding,RNA binding
O00110,Non-Housekeeping DNA-binding TFs,2,2,"zf-H2C2_2,zf-C2H2",DNA binding,DNA binding
E9PGG2,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,SIX1_SD",,
Q96A47,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
C9JN71,Non-Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O60506,RNA processing,4,2,"RRM_1,hnRNP_Q_AcD",RNA binding;RNA binding;RNA binding,RNA binding
O75525,RNA processing,2,2,"Qua1,Sam68-YY",,
P19387,RNA polymerases,2,2,"RNA_pol_A_bac,RNA_pol_L",,
O75554,RNA processing,3,2,"WW,zf-U1",,
B1APH4,Non-Housekeeping DNA-binding TFs,5,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O75694,RNA processing,2,2,"Nucleoporin_C,Nucleoporin_N",,
A8MYZ6,Non-Housekeeping DNA-binding TFs,2,2,"Forkhead,FOXO-TAD",,
A8MXY4,Non-Housekeeping DNA-binding TFs,21,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UL68,Non-Housekeeping DNA-binding TFs,7,2,"zf-C2HC,MYT1",,
A8MWA4,Non-Housekeeping DNA-binding TFs,3,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
P09651,RNA processing,3,2,"RRM_1,HnRNPA1_LC",RNA binding;RNA binding,RNA binding
O43172,RNA processing,8,2,"PRP4,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
O14776,RNA processing,8,2,"WW,FF",,
O14529,Non-Housekeeping DNA-binding TFs,4,2,"Homeodomain,CUT",DNA binding,DNA binding
Q9HD90,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Neuro_bHLH",,
P19388,RNA polymerases,2,2,"RNA_pol_Rpb5_C,RNA_pol_Rpb5_N",,
P36954,RNA polymerases,2,2,"TFIIS_C,RNA_POL_M_15KD",,
P62487,RNA polymerases,2,2,"S1,SHS2_Rpb7-N",,
O15090,Non-Housekeeping DNA-binding TFs,6,2,"zf-H2C2_5,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O15060,Non-Housekeeping DNA-binding TFs,3,2,"BTB,zf-C2H2",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q3B726,RNA polymerases,2,2,"SHS2_Rpb7-N,RPA43_OB",,
Q9NVU0,RNA polymerases,2,2,"RPC5,RPC5_C",,
Q9Y2Y1,RNA polymerases,2,2,"TFIIS_C,RNA_POL_M_15KD",,
Q9NQ69,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
O14948,Non-Housekeeping DNA-binding TFs,2,2,"HLH,DUF3371",,
Q9NPC8,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,SIX1_SD",DNA binding,DNA binding
Q9Y535,RNA polymerases,2,2,"SHS2_Rpb7-N,RNA_pol_Rbc25",,
O14896,Non-Housekeeping DNA-binding TFs,2,2,"IRF,IRF-3",,
O14770,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,Meis_PKNOX_N",,
O14753,Non-Housekeeping DNA-binding TFs,2,2,"zf-H2C2_2,zf-C2H2",DNA binding,DNA binding
O00148,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
O14627,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Caudal_act",DNA binding,DNA binding
O95238,Non-Housekeeping DNA-binding TFs,2,2,"Ets,SAM_PNT",,
Q13601,Preribosome-associated,2,2,"KRR1-like_KH2,KH_8",,
P31271,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,HoxA13_N",DNA binding,DNA binding
P15173,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Basic",,
P36402,Other families with HMG-box domain,2,2,"HMG_box,CTNNB1_binding",DNA binding,DNA binding
P17098,Non-Housekeeping DNA-binding TFs,8,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P41225,Other families with HMG-box domain,2,2,"HMG_box,SOXp",DNA binding,DNA binding
P17039,Non-Housekeeping DNA-binding TFs,16,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P17031,Non-Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P48436,Other families with HMG-box domain,2,2,"HMG_box,Sox_N",DNA binding,DNA binding
P17023,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P56693,Other families with HMG-box domain,2,2,"HMG_box,Sox_N",DNA binding,DNA binding
P57073,Other families with HMG-box domain,2,2,"HMG_box,Sox_N",DNA binding,DNA binding
Q9NQB0,Other families with HMG-box domain,2,2,"HMG_box,CTNNB1_binding",DNA binding,DNA binding
Q12766,Other families with HMG-box domain,2,2,"HMG_box_2,CxC4",,
Q9BT81,Other families with HMG-box domain,2,2,"HMG_box,Sox17_18_mid",DNA binding,DNA binding
P14651,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DUF4074",DNA binding,DNA binding
Q9H6I2,Other families with HMG-box domain,2,2,"HMG_box,Sox17_18_mid",DNA binding,DNA binding
Q9HCS4,Other families with HMG-box domain,2,2,"HMG_box,CTNNB1_binding",DNA binding,DNA binding
P12525,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Myc_N",,
P12524,Non-Housekeeping DNA-binding TFs,4,2,"HLH,Myc_N",,
P11308,Non-Housekeeping DNA-binding TFs,2,2,"Ets,SAM_PNT",,
P17482,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Hox9_act",DNA binding,DNA binding
P35713,Other families with HMG-box domain,2,2,"HMG_box,Sox17_18_mid",DNA binding,DNA binding
P19622,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Engrail_1_C_sig",DNA binding,DNA binding
P20264,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
P31270,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DUF3528",DNA binding,DNA binding
P31269,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Hox9_act",DNA binding,DNA binding
P31249,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,DUF4074",DNA binding,DNA binding
Q92753,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
Q96RI1,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
P28356,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Hox9_act",DNA binding,DNA binding
P28347,Non-Housekeeping DNA-binding TFs,2,2,"TEA,YBD",,
P28069,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
Q9Y466,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
P26367,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,PAX",DNA binding,DNA binding
Q9Y5X4,Nuclear hormone receptors,2,2,"Hormone_recep,zf-C4",,
P23409,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Basic",,
P22670,Non-Housekeeping DNA-binding TFs,2,2,"RFX_DNA_binding,RFX1_trans_act",,
B2RPK0,Other families with HMG-box domain,2,2,"HMG_box,HMG_box_2",DNA binding,DNA binding
O00570,Other families with HMG-box domain,2,2,"HMG_box,SOXp",DNA binding,DNA binding
O60381,Other families with HMG-box domain,2,2,"HMG_box,AXH",DNA binding,DNA binding
P20265,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,Pou",DNA binding,DNA binding
P11161,Non-Housekeeping DNA-binding TFs,4,2,"DUF3446,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
P10244,Non-Housekeeping DNA-binding TFs,4,2,"Cmyb_C,Myb_DNA-bind_6",,
Q12788,Preribosome-associated,9,2,"Utp13,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
O95863,Non-Housekeeping DNA-binding TFs,3,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding,DNA binding
Q9NZC4,Non-Housekeeping DNA-binding TFs,2,2,"Ets,SAM_PNT",,
O00541,Preribosome-associated,2,2,"Pescadillo_N,BRCT_2",,
Q9NU63,Non-Housekeeping DNA-binding TFs,7,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8NDP4,Non-Housekeeping DNA-binding TFs,7,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O00567,Preribosome-associated,2,2,"Nop,NOP5NT",,
O95948,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,CUT",DNA binding,DNA binding
O15213,Preribosome-associated,2,2,"BING4CT,WD40",Histone binding,Histone binding
O95936,Non-Housekeeping DNA-binding TFs,2,2,"T-box,T-box_assoc",,
O75691,Preribosome-associated,2,2,"UTP20_N,UTP20_C",,
P10243,Non-Housekeeping DNA-binding TFs,4,2,"Cmyb_C,Myb_DNA-bind_6",,
O95644,Non-Housekeeping DNA-binding TFs,2,2,"RHD_DNA_bind,RHD_dimer",,
P46781,Preribosome-associated,2,2,"Ribosomal_S4,S4",,
O95475,Non-Housekeeping DNA-binding TFs,2,2,"Homeodomain,SIX1_SD",DNA binding,DNA binding
O95416,Non-Housekeeping DNA-binding TFs,2,2,"HMG_box,SOXp",DNA binding,DNA binding
O95409,Non-Housekeeping DNA-binding TFs,4,2,"zf_ZIC,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
P62277,Preribosome-associated,2,2,"Ribosomal_S15,Ribosomal_S13_N",,
P62280,Preribosome-associated,2,2,"Ribosomal_S17,Ribosomal_S17_N",,
P62979,Preribosome-associated,2,2,"ubiquitin,Ribosomal_S27",,
Q8NCK3,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P04198,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Myc_N",,
Q9BWX5,Pioneer TFs,3,2,"GATA,GATA-N",DNA binding;DNA binding,DNA binding
Q92908,Pioneer TFs,3,2,"GATA,GATA-N",DNA binding;DNA binding,DNA binding
P10242,Non-Housekeeping DNA-binding TFs,4,2,"Myb_DNA-binding,Cmyb_C",DNA binding;DNA binding;DNA binding,DNA binding
P10073,Non-Housekeeping DNA-binding TFs,9,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
